optimalnumber,probabilityrange,date,department,capacity,probability,day,month
219,0.69007376657928954,02/01/2016,1,100,0.47,6,1
294,0.75709330055004964,02/01/2016,1,135,0.47,6,1
327,0.79718983247790309,02/01/2016,1,150,0.47,6,1
437,0.84953422671004408,02/01/2016,1,200,0.47,6,1
201,0.70895064484739445,04/01/2016,1,100,0.51,1,1
271,0.77548357987127059,04/01/2016,1,135,0.51,1,1
301,0.8145509460676279,04/01/2016,1,150,0.51,1,1
402,0.86515094574975249,04/01/2016,1,200,0.51,1,1
210,0.69943452957890839,05/01/2016,1,100,0.49,2,1
282,0.76613982535829828,05/01/2016,1,135,0.49,2,1
314,0.80581165798194854,05/01/2016,1,150,0.49,2,1
419,0.85734187931234729,05/01/2016,1,200,0.49,2,1
210,0.69943452957890839,06/01/2016,1,100,0.49,3,1
282,0.76613982535829828,06/01/2016,1,135,0.49,3,1
314,0.80581165798194854,06/01/2016,1,150,0.49,3,1
419,0.85734187931234729,06/01/2016,1,200,0.49,3,1
210,0.69943452957890839,07/01/2016,1,100,0.49,4,1
282,0.76613982535829828,07/01/2016,1,135,0.49,4,1
314,0.80581165798194854,07/01/2016,1,150,0.49,4,1
419,0.85734187931234729,07/01/2016,1,200,0.49,4,1
198,0.71398839016707139,08/01/2016,1,100,0.52,5,1
266,0.7802488245630409,08/01/2016,1,135,0.52,5,1
296,0.81915949395011689,08/01/2016,1,150,0.52,5,1
395,0.86921529415382359,08/01/2016,1,200,0.52,5,1
210,0.69943452957890839,09/01/2016,1,100,0.49,6,1
282,0.76613982535829828,09/01/2016,1,135,0.49,6,1
314,0.80581165798194854,09/01/2016,1,150,0.49,6,1
419,0.85734187931234729,09/01/2016,1,200,0.49,6,1
210,0.69943452957890839,11/01/2016,1,100,0.49,1,1
282,0.76613982535829828,11/01/2016,1,135,0.49,1,1
314,0.80581165798194854,11/01/2016,1,150,0.49,1,1
419,0.85734187931234729,11/01/2016,1,200,0.49,1,1
210,0.69943452957890839,12/01/2016,1,100,0.49,2,1
282,0.76613982535829828,12/01/2016,1,135,0.49,2,1
314,0.80581165798194854,12/01/2016,1,150,0.49,2,1
419,0.85734187931234729,12/01/2016,1,200,0.49,2,1
219,0.69007376657928954,13/01/2016,1,100,0.47,3,1
294,0.75709330055004964,13/01/2016,1,135,0.47,3,1
327,0.79718983247790309,13/01/2016,1,150,0.47,3,1
437,0.84953422671004408,13/01/2016,1,200,0.47,3,1
223,0.68554071622061696,14/01/2016,1,100,0.46,4,1
301,0.75255377325840422,14/01/2016,1,135,0.46,4,1
334,0.79292728395700163,14/01/2016,1,150,0.46,4,1
446,0.84572444880116182,14/01/2016,1,200,0.46,4,1
205,0.70403985245544964,15/01/2016,1,100,0.5,5,1
277,0.77057553537061163,15/01/2016,1,135,0.5,5,1
308,0.81007471324425562,15/01/2016,1,150,0.5,5,1
411,0.86116616311449112,15/01/2016,1,200,0.5,5,1
210,0.69943452957890839,16/01/2016,1,100,0.49,6,1
282,0.76613982535829828,16/01/2016,1,135,0.49,6,1
314,0.80581165798194854,16/01/2016,1,150,0.49,6,1
419,0.85734187931234729,16/01/2016,1,200,0.49,6,1
205,0.70403985245544964,18/01/2016,1,100,0.5,1,1
277,0.77057553537061163,18/01/2016,1,135,0.5,1,1
308,0.81007471324425562,18/01/2016,1,150,0.5,1,1
411,0.86116616311449112,18/01/2016,1,200,0.5,1,1
219,0.69007376657928954,19/01/2016,1,100,0.47,2,1
294,0.75709330055004964,19/01/2016,1,135,0.47,2,1
327,0.79718983247790309,19/01/2016,1,150,0.47,2,1
437,0.84953422671004408,19/01/2016,1,200,0.47,2,1
210,0.69943452957890839,20/01/2016,1,100,0.49,3,1
282,0.76613982535829828,20/01/2016,1,135,0.49,3,1
314,0.80581165798194854,20/01/2016,1,150,0.49,3,1
419,0.85734187931234729,20/01/2016,1,200,0.49,3,1
219,0.69007376657928954,21/01/2016,1,100,0.47,4,1
294,0.75709330055004964,21/01/2016,1,135,0.47,4,1
327,0.79718983247790309,21/01/2016,1,150,0.47,4,1
437,0.84953422671004408,21/01/2016,1,200,0.47,4,1
214,0.69482467011973614,22/01/2016,1,100,0.48,5,1
288,0.76159738698802204,22/01/2016,1,135,0.48,5,1
320,0.80143253315270013,22/01/2016,1,150,0.48,5,1
428,0.8533736228424269,22/01/2016,1,200,0.48,5,1
223,0.68554071622061696,23/01/2016,1,100,0.46,6,1
301,0.75255377325840422,23/01/2016,1,135,0.46,6,1
334,0.79292728395700163,23/01/2016,1,150,0.46,6,1
446,0.84572444880116182,23/01/2016,1,200,0.46,6,1
219,0.69007376657928954,25/01/2016,1,100,0.47,1,1
294,0.75709330055004964,25/01/2016,1,135,0.47,1,1
327,0.79718983247790309,25/01/2016,1,150,0.47,1,1
437,0.84953422671004408,25/01/2016,1,200,0.47,1,1
210,0.69943452957890839,27/01/2016,1,100,0.49,3,1
282,0.76613982535829828,27/01/2016,1,135,0.49,3,1
314,0.80581165798194854,27/01/2016,1,150,0.49,3,1
419,0.85734187931234729,27/01/2016,1,200,0.49,3,1
223,0.68554071622061696,28/01/2016,1,100,0.46,4,1
301,0.75255377325840422,28/01/2016,1,135,0.46,4,1
334,0.79292728395700163,28/01/2016,1,150,0.46,4,1
446,0.84572444880116182,28/01/2016,1,200,0.46,4,1
214,0.69482467011973614,29/01/2016,1,100,0.48,5,1
288,0.76159738698802204,29/01/2016,1,135,0.48,5,1
320,0.80143253315270013,29/01/2016,1,150,0.48,5,1
428,0.8533736228424269,29/01/2016,1,200,0.48,5,1
219,0.69007376657928954,30/01/2016,1,100,0.47,6,1
294,0.75709330055004964,30/01/2016,1,135,0.47,6,1
327,0.79718983247790309,30/01/2016,1,150,0.47,6,1
437,0.84953422671004408,30/01/2016,1,200,0.47,6,1
234,0.67668849947613019,01/02/2016,1,100,0.44,1,2
314,0.74402700904137431,01/02/2016,1,135,0.44,1,2
349,0.78454936766841965,01/02/2016,1,150,0.44,1,2
466,0.83809362278537591,01/02/2016,1,200,0.44,1,2
234,0.67668849947613019,02/02/2016,1,100,0.44,2,2
314,0.74402700904137431,02/02/2016,1,135,0.44,2,2
349,0.78454936766841965,02/02/2016,1,150,0.44,2,2
466,0.83809362278537591,02/02/2016,1,200,0.44,2,2
223,0.68554071622061696,03/02/2016,1,100,0.46,3,2
301,0.75255377325840422,03/02/2016,1,135,0.46,3,2
334,0.79292728395700163,03/02/2016,1,150,0.46,3,2
446,0.84572444880116182,03/02/2016,1,200,0.46,3,2
223,0.68554071622061696,04/02/2016,1,100,0.46,4,2
301,0.75255377325840422,04/02/2016,1,135,0.46,4,2
334,0.79292728395700163,04/02/2016,1,150,0.46,4,2
446,0.84572444880116182,04/02/2016,1,200,0.46,4,2
210,0.69943452957890839,05/02/2016,1,100,0.49,5,2
282,0.76613982535829828,05/02/2016,1,135,0.49,5,2
314,0.80581165798194854,05/02/2016,1,150,0.49,5,2
419,0.85734187931234729,05/02/2016,1,200,0.49,5,2
228,0.6811183201156934,06/02/2016,1,100,0.45,6,2
307,0.74830605843924802,06/02/2016,1,135,0.45,6,2
342,0.78871339530508977,06/02/2016,1,150,0.45,6,2
456,0.84193165809647341,06/02/2016,1,200,0.45,6,2
219,0.69007376657928954,08/02/2016,1,100,0.47,1,2
294,0.75709330055004964,08/02/2016,1,135,0.47,1,2
327,0.79718983247790309,08/02/2016,1,150,0.47,1,2
437,0.84953422671004408,08/02/2016,1,200,0.47,1,2
228,0.6811183201156934,09/02/2016,1,100,0.45,2,2
307,0.74830605843924802,09/02/2016,1,135,0.45,2,2
342,0.78871339530508977,09/02/2016,1,150,0.45,2,2
456,0.84193165809647341,09/02/2016,1,200,0.45,2,2
228,0.6811183201156934,10/02/2016,1,100,0.45,3,2
307,0.74830605843924802,10/02/2016,1,135,0.45,3,2
342,0.78871339530508977,10/02/2016,1,150,0.45,3,2
456,0.84193165809647341,10/02/2016,1,200,0.45,3,2
223,0.68554071622061696,11/02/2016,1,100,0.46,4,2
301,0.75255377325840422,11/02/2016,1,135,0.46,4,2
