optimalnumber,probabilityrange,date,department,capacity,probability,day,month
270,0.65209820190088119,03/11/2015,1,100,0.38,2,11
364,0.71965888851313364,03/11/2015,1,135,0.38,2,11
405,0.76091875271355613,03/11/2015,1,150,0.38,2,11
540,0.81629941005183748,03/11/2015,1,200,0.38,2,11
264,0.65600733559733915,04/11/2015,1,100,0.39,3,11
355,0.72348000893189257,04/11/2015,1,135,0.39,3,11
394,0.7647666271641288,04/11/2015,1,150,0.39,3,11
526,0.81984075550824864,04/11/2015,1,200,0.39,3,11
251,0.66412761311133017,05/11/2015,1,100,0.41,4,11
337,0.73156222289101847,05/11/2015,1,135,0.41,4,11
375,0.77257501842092302,05/11/2015,1,150,0.41,4,11
501,0.82702384962330333,05/11/2015,1,200,0.41,4,11
239,0.67256412542825095,06/11/2015,1,100,0.43,5,11
322,0.73970791132923408,06/11/2015,1,135,0.43,5,11
358,0.78047354481432707,06/11/2015,1,150,0.43,5,11
477,0.83440414800631224,06/11/2015,1,200,0.43,5,11
234,0.67668849947613019,07/11/2015,1,100,0.44,6,11
314,0.74402700904137431,07/11/2015,1,135,0.44,6,11
349,0.78454936766841965,07/11/2015,1,150,0.44,6,11
466,0.83809362278537591,07/11/2015,1,200,0.44,6,11
239,0.67256412542825095,09/11/2015,1,100,0.43,1,11
322,0.73970791132923408,09/11/2015,1,135,0.43,1,11
358,0.78047354481432707,09/11/2015,1,150,0.43,1,11
477,0.83440414800631224,09/11/2015,1,200,0.43,1,11
245,0.66827534175116876,10/11/2015,1,100,0.42,2,11
329,0.73566091113263155,10/11/2015,1,135,0.42,2,11
366,0.77654319455925525,10/11/2015,1,150,0.42,2,11
489,0.83070219178189653,10/11/2015,1,200,0.42,2,11
257,0.66013703188490458,12/11/2015,1,100,0.4,4,11
346,0.72749627882342371,12/11/2015,1,135,0.4,4,11
384,0.76859753859151581,12/11/2015,1,150,0.4,4,11
513,0.82344631316495787,12/11/2015,1,200,0.4,4,11
257,0.66013703188490458,13/11/2015,1,100,0.4,5,11
346,0.72749627882342371,13/11/2015,1,135,0.4,5,11
384,0.76859753859151581,13/11/2015,1,150,0.4,5,11
513,0.82344631316495787,13/11/2015,1,200,0.4,5,11
257,0.66013703188490458,14/11/2015,1,100,0.4,6,11
346,0.72749627882342371,14/11/2015,1,135,0.4,6,11
384,0.76859753859151581,14/11/2015,1,150,0.4,6,11
513,0.82344631316495787,14/11/2015,1,200,0.4,6,11
257,0.66013703188490458,16/11/2015,1,100,0.4,1,11
346,0.72749627882342371,16/11/2015,1,135,0.4,1,11
384,0.76859753859151581,16/11/2015,1,150,0.4,1,11
513,0.82344631316495787,16/11/2015,1,200,0.4,1,11
251,0.66412761311133017,17/11/2015,1,100,0.41,2,11
337,0.73156222289101847,17/11/2015,1,135,0.41,2,11
375,0.77257501842092302,17/11/2015,1,150,0.41,2,11
501,0.82702384962330333,17/11/2015,1,200,0.41,2,11
251,0.66412761311133017,18/11/2015,1,100,0.41,3,11
337,0.73156222289101847,18/11/2015,1,135,0.41,3,11
375,0.77257501842092302,18/11/2015,1,150,0.41,3,11
501,0.82702384962330333,18/11/2015,1,200,0.41,3,11
257,0.66013703188490458,19/11/2015,1,100,0.4,4,11
346,0.72749627882342371,19/11/2015,1,135,0.4,4,11
384,0.76859753859151581,19/11/2015,1,150,0.4,4,11
513,0.82344631316495787,19/11/2015,1,200,0.4,4,11
245,0.66827534175116876,20/11/2015,1,100,0.42,5,11
329,0.73566091113263155,20/11/2015,1,135,0.42,5,11
366,0.77654319455925525,20/11/2015,1,150,0.42,5,11
489,0.83070219178189653,20/11/2015,1,200,0.42,5,11
257,0.66013703188490458,21/11/2015,1,100,0.4,6,11
346,0.72749627882342371,21/11/2015,1,135,0.4,6,11
384,0.76859753859151581,21/11/2015,1,150,0.4,6,11
513,0.82344631316495787,21/11/2015,1,200,0.4,6,11
234,0.67668849947613019,23/11/2015,1,100,0.44,1,11
314,0.74402700904137431,23/11/2015,1,135,0.44,1,11
349,0.78454936766841965,23/11/2015,1,150,0.44,1,11
466,0.83809362278537591,23/11/2015,1,200,0.44,1,11
239,0.67256412542825095,24/11/2015,1,100,0.43,2,11
322,0.73970791132923408,24/11/2015,1,135,0.43,2,11
358,0.78047354481432707,24/11/2015,1,150,0.43,2,11
477,0.83440414800631224,24/11/2015,1,200,0.43,2,11
245,0.66827534175116876,26/11/2015,1,100,0.42,4,11
329,0.73566091113263155,26/11/2015,1,135,0.42,4,11
366,0.77654319455925525,26/11/2015,1,150,0.42,4,11
489,0.83070219178189653,26/11/2015,1,200,0.42,4,11
239,0.67256412542825095,27/11/2015,1,100,0.43,5,11
322,0.73970791132923408,27/11/2015,1,135,0.43,5,11
358,0.78047354481432707,27/11/2015,1,150,0.43,5,11
477,0.83440414800631224,27/11/2015,1,200,0.43,5,11
245,0.66827534175116876,28/11/2015,1,100,0.42,6,11
329,0.73566091113263155,28/11/2015,1,135,0.42,6,11
366,0.77654319455925525,28/11/2015,1,150,0.42,6,11
489,0.83070219178189653,28/11/2015,1,200,0.42,6,11
239,0.67256412542825095,30/11/2015,1,100,0.43,1,11
322,0.73970791132923408,30/11/2015,1,135,0.43,1,11
358,0.78047354481432707,30/11/2015,1,150,0.43,1,11
477,0.83440414800631224,30/11/2015,1,200,0.43,1,11
205,0.70403985245544964,01/12/2015,1,100,0.5,2,12
277,0.77057553537061163,01/12/2015,1,135,0.5,2,12
308,0.81007471324425562,01/12/2015,1,150,0.5,2,12
411,0.86116616311449112,01/12/2015,1,200,0.5,2,12
205,0.70403985245544964,02/12/2015,1,100,0.5,3,12
277,0.77057553537061163,02/12/2015,1,135,0.5,3,12
308,0.81007471324425562,02/12/2015,1,150,0.5,3,12
411,0.86116616311449112,02/12/2015,1,200,0.5,3,12
210,0.69943452957890839,03/12/2015,1,100,0.49,4,12
