optimalnumber,probabilityrange,probability,capacity
1029,0.56406646111597047,0.1,100
935,0.56663676621798054,0.11,100
857,0.5692395031262919,0.12,100
791,0.5718775407143708,0.13,100
735,0.57454916427059577,0.14,100
686,0.57726040948338042,0.15,100
643,0.58001419902780005,0.16,100
605,0.5828061449845795,0.17,100
571,0.58562539281130721,0.18,100
541,0.58849871097190265,0.19,100
514,0.59141267301473799,0.2,100
490,0.59435437374722544,0.21,100
467,0.59734529154507499,0.22,100
447,0.60040786250788192,0.23,100
428,0.60346682401519802,0.24,100
411,0.60661739606078746,0.25,100
395,0.60977400565193529,0.26,100
381,0.61303170430920373,0.27,100
367,0.61631942179150767,0.28,100
354,0.61959408261602467,0.29,100
343,0.62301125088022213,0.3,100
332,0.62643372297461941,0.31,100
321,0.62996499828328212,0.32,100
311,0.63344826229462137,0.33,100
302,0.63710851390589529,0.34,100
294,0.64077124501519833,0.35,100
286,0.64443625099416335,0.36,100
278,0.64832622663182804,0.37,100
270,0.65209820190088119,0.38,100
264,0.65600733559733915,0.39,100
257,0.66013703188490458,0.4,100
251,0.66412761311133017,0.41,100
245,0.66827534175116876,0.42,100
239,0.67256412542825095,0.43,100
234,0.67668849947613019,0.44,100
228,0.6811183201156934,0.45,100
223,0.68554071622061696,0.46,100
219,0.69007376657928954,0.47,100
214,0.69482467011973614,0.48,100
210,0.69943452957890839,0.49,100
205,0.70403985245544964,0.5,100
201,0.70895064484739445,0.51,100
198,0.71398839016707139,0.52,100
194,0.71926557025752835,0.53,100
190,0.72436909299169872,0.54,100
187,0.72970767320873209,0.55,100
183,0.73478864687653767,0.56,100
180,0.74055076827426458,0.57,100
177,0.74624042478947272,0.58,100
174,0.75197109488802472,0.59,100
171,0.75774050704385632,0.6,100
168,0.76341809835537289,0.61,100
166,0.76975041806002953,0.62,100
163,0.77613160281125393,0.63,100
161,0.78198389528479473,0.64,100
158,0.78897536684802172,0.65,100
156,0.79534298995756025,0.66,100
153,0.80196605339072213,0.67,100
151,0.80923083389478023,0.68,100
149,0.81630549214512549,0.69,100
147,0.82338680721050883,0.7,100
145,0.83061675434476645,0.71,100
143,0.83807561633318906,0.72,100
141,0.84577455095558607,0.73,100
139,0.85364765794906217,0.74,100
137,0.86154395128503469,0.75,100
135,0.86922012856921582,0.76,100
134,0.87674947223330979,0.77,100
132,0.8858820989159667,0.78,100
130,0.89414953791069229,0.79,100
129,0.90190418805818817,0.8,100
127,0.91127595963031671,0.81,100
126,0.91842401274114749,0.82,100
124,0.92830660731959214,0.83,100
123,0.93574122183779729,0.84,100
121,0.94490943234366909,0.85,100
120,0.95306220979585698,0.86,100
118,0.9597317858697918,0.87,100
117,0.96839674608441673,0.88,100
116,0.97566308586371298,0.89,100
115,0.9817961453761257,0.9,100
114,0.98701502573526956,0.91,100
113,0.99146207746037651,0.92,100
112,0.99516166837970321,0.93,100
111,0.99797532013924306,0.94,100
110,0.99960564091488546,0.95,100
110,0.99996552819062756,0.96,100
110,0.99999885937561528,0.97,100
110,0.99999999357616076,0.98,100
110,0.99999999999950462,0.99,100
